Brand,Model,Weight,Released on the market,For women,For kids,Frame material,Frame type,Collapsible frame,Color,Fork type,Shock absorber type,Shock absorber pressure,Fork name,Wheel drive,Drive type,Transmission type,Number of speeds,System name,Cassette name,Front derailleur gears name,Rear derailleur gears name,Shifters type,Shifters name,Front brakes,Front brakes name,Rear brakes,Number of wheels,Wheels diameter,Double rim,Rim material,Rims name,Tyres pattern,Tyres name,Handlebar type,Handlebar name,Seat type,Seat suspension,Seat name,Pedals type,Pedals name,Front panel,Rear panel panel,Trunk,Rearview mirror,Horn,Basket
Forward,Fujion 1.0 (2014),15.5 kg,2014,No,-,Steel,Closed,-,"Orange, Black",Tough,-,-,-,Rear,Chain,With an external switch,18,-,-,-,-,Grip-Shift,-,Promax (TX117),-,Promax (TX117),-,"26 """,-,Aluminium,-,Mud,-,With the rise of,With the rise of,Sports,No,-,Platform,-,Yes,Yes,No,No,-,No
Forward,Fujion 2.0 (2014),16.48 kg,2014,-,-,Steel,Closed,-,"Yellow, Black",Suspension,-,50 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Combined,-,Promax,-,Promax,-,"26 """,Aluminium,Aluminium,-,Mud,Mud,With the rise of,With the rise of,Sports,Platform,-,Platform,-,Partial,Partial,-,-,-,-
Forward,Fujion 2.0 (2014),16.48 kg,2014,No,-,Steel,Closed,-,"Yellow, Black",Suspension,-,50 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Combined,-,Promax (TX117),-,Promax (TX117),-,"26 """,Yes,Aluminium,-,Mud,-,With the rise of,With the rise of,Sports,No,-,Platform,-,Yes,Yes,No,No,-,No
Forward,Fujion 818,16.8 kg,-,-,-,Steel,Open,-,"White, Black",Suspension,-,60 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Combined,-,Promax,-,Promax,-,"26 """,Aluminium,Aluminium,-,Mud,Mud,-,-,Sports,Platform,Sports,Platform,-,Partial,Partial,-,-,-,-
Forward,Fujion 818,16.8 kg,-,No,-,Steel,Open,-,"White, Black",Suspension,-,60 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Combined,-,Promax (TX-117),-,Promax (TX-117),2,"26 """,Yes,Aluminium,-,Mud,-,-,-,Sports,No,-,Platform,-,Yes,Yes,No,No,-,No
Forward,FUSION 818,17.9 kg,-,-,-,Steel,Closed,-,"Blue, Black",Suspension,Spring-elastomer,-,-,Rear,Chain,With an external switch,21,-,-,-,-,Trigger,-,V-brake,-,V-brake,-,"26 """,Aluminium,Aluminium,-,Mud,Mud,With the rise of,With the rise of,Sports,-,Sports,Platform,-,-,-,-,-,-,-
Forward,FUSION 818,17.9 kg,-,No,No,Steel,Closed,-,"Black, Blue (White/Red)",Suspension,Spring-elastomer,-,Zoom,Rear,Chain,With an external switch,21,Prowheel (28/38/48t),-,Shimano Tourney,Shimano Tourney RD-TX35,Trigger,Shimano ST-EF40,Rim mechanical,V-brake,Rim mechanical,2,"26 """,Yes,Aluminium,Weinmann,Mud,Wanda,With the rise of,With the rise of,Sports,-,MTB,Platform,-,Yes,Yes,No,No,No,No
Forward,FUSION 881,16.4 kg,-,-,-,Steel,Closed,-,"White, Black",Tough,-,-,-,Rear,Chain,With an external switch,18,-,-,-,-,Trigger,-,V-brake,-,V-brake,-,"26 """,Aluminium,Aluminium,-,Mud,Mud,With the rise of,With the rise of,Sports,-,Sports,Platform,-,-,-,-,-,-,-
Forward,FUSION 881,16.4 kg,-,No,No,Steel,Closed,-,"Black, White (White/Turquoise)",Tough,-,-,-,Rear,Chain,With an external switch,18,Prowheel (28/38/48t),-,Shimano Tourney,Shimano TZ-50,Trigger,Shimano Revo Shift SL-RS35,Rim mechanical,V-brake,Rim mechanical,2,"26 """,No,Aluminium,-,Mud,Wanda,With the rise of,With the rise of,Sports,-,MTB,Platform,-,Yes,Yes,No,No,No,No
Forward,Grace 1.0 (2014),19.2 kg,2014,-,-,Steel,Open,-,White,Suspension,-,50 mm,-,Rear,Chain,With an external switch,18,-,-,-,-,Combined,-,Promax,-,Promax,-,"26 """,-,Aluminium,-,Semi slicks,Semi slicks,-,-,Sports,Platform,-,Platform,-,Partial,Partial,-,-,-,-
Forward,Grace 1.0 (2014),19.2 kg,2014,Yes,-,Steel,Open,-,White,Suspension,-,50 mm,-,Rear,Chain,With an external switch,18,-,-,-,-,Combined,-,Promax (TX-119),-,Promax (TX-119),-,"26 """,-,Aluminium,-,Semi slicks,-,-,-,Sports,No,-,Platform,-,Yes,Yes,Yes,No,-,No
Forward,Grace 885 (2013),16.2 kg,2013,-,-,Steel,Open,-,Light blue,Suspension,-,60 mm,-,Rear,Chain,With an external switch,18,-,-,-,-,Combined,-,Promax,-,Promax,-,"26 """,Aluminium,Aluminium,-,Mud,Mud,-,-,Sports,Platform,-,Platform,-,Partial,Partial,-,-,-,-
Forward,Grace 885 (2013),16.2 kg,2013,Yes,-,Steel,Open,-,Light blue,Suspension,-,60 mm,-,Rear,Chain,With an external switch,18,-,-,-,-,Combined,-,Promax (TX-117),-,Promax (TX-117),-,"26 """,Yes,Aluminium,-,Mud,-,-,-,Sports,No,-,Platform,-,Yes,Yes,No,No,-,No
Forward,Hardi 1.0 (2014),15.8 kg,2014,-,-,Steel,Closed,-,"White, Blue",Suspension,-,50 mm,-,Rear,Chain,With an external switch,18,-,-,-,-,Combined,-,Promax,-,Promax,-,"24 """,Aluminium,Aluminium,-,Mud,Mud,Direct,Direct,Sports,Platform,-,Platform,-,Partial,Partial,-,-,-,-
Forward,Hardi 1.0 (2014),15.8 kg,2014,No,-,Steel,Closed,-,"White, Blue",Suspension,-,50 mm,-,Rear,Chain,With an external switch,18,-,-,-,-,Combined,-,Promax (TX-117),-,Promax (TX-117),-,"24 """,Yes,Aluminium,-,Mud,-,Direct,Direct,Sports,No,-,Platform,-,Yes,Yes,No,No,-,No
Forward,Hardi 587 (2013),15.1 kg,2013,-,-,Steel,Closed,-,"White, Black",Suspension,-,50 mm,-,Rear,Chain,With an external switch,18,-,-,-,-,Combined,-,Promax,-,Promax,-,"24 """,Aluminium,Aluminium,-,Mud,Mud,Direct,Direct,Travel,Platform,Travel,Platform,-,Partial,Partial,-,-,-,-
Forward,Hardi 587 (2013),15.1 kg,2013,No,-,Steel,Closed,-,"White, Black",Suspension,-,50 mm,-,Rear,Chain,With an external switch,18,-,-,-,-,Combined,-,Promax (TX-107L),-,Promax (TX-107L),2,"24 """,Yes,Aluminium,-,Mud,-,Direct,Direct,Travel,No,-,Platform,-,Yes,Yes,No,No,-,No
Forward,Hesper 1.0 (2014),14.7 kg,2014,-,-,Aluminum Alloy,Closed,-,Black,Suspension,-,100 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Trigger,-,Tektro,-,Tektro,-,"26 """,Aluminium,Aluminium,-,Semi slicks,Semi slicks,Direct,Direct,Sports,Platform,-,Platform,-,Partial,Partial,-,-,-,-
Forward,Hesper 1.0 (2014),14.7 kg,2014,No,-,Aluminum Alloy,Closed,-,Black (Matt),Suspension,-,100 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Trigger,-,Tektro (836AL),-,Tektro (836AL),-,"26 """,Yes,Aluminium,-,Semi slicks,-,Direct,Direct,Sports,No,-,Platform,-,Yes,Yes,No,No,-,No
Forward,Hesper 817,14.4 kg,-,-,-,Aluminum Alloy,Closed,-,"Red, Black",Suspension,Spring-elastomer,-,-,Rear,Chain,With an external switch,21,-,-,-,-,Trigger,-,V-brake,-,V-brake,-,"26 """,Aluminium,Aluminium,-,Mud,Mud,With the rise of,With the rise of,Sports,Platform,Sports,Platform,-,-,-,-,-,-,-
Forward,Hesper 817,14.4 kg,-,No,No,Aluminum Alloy,Closed,-,"Black, Red (Silver)",Suspension,Spring-elastomer,-,SR Suntour M3010-AL,Rear,Chain,With an external switch,21,Prowheel,-,Shimano Tourney FD-TX50,Shimano Acera RD-M360,Trigger,Sunrace DLM33,Rim mechanical,V-brake,Rim mechanical,2,"26 """,Yes,Aluminium,Weinmann,Mud,Rubena Winner,With the rise of,With the rise of,Sports,No,Cionlli,Platform,-,Yes,Yes,No,No,No,No
Forward,Iris 1.0 (2014),-,2014,Aluminum Alloy,-,Aluminum Alloy,Open,-,"White, Blue",Suspension,-,50 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Combined,-,Promax,-,Promax,-,"26 """,-,Aluminium,-,Mud,Mud,Direct,Direct,Sports,Platform,-,Platform,-,Partial,Partial,-,-,-,-
Forward,Iris 1.0 (2014),-,2014,Yes,-,Aluminum Alloy,Open,-,"White, Blue",Suspension,-,50 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Combined,-,Promax (TX-117),-,Promax (TX-117),-,"26 """,-,Aluminium,-,Mud,-,Direct,Direct,Sports,No,-,Platform,-,Yes,Yes,No,No,-,No
Forward,Iris 816 (2013),16.5 kg,2013,-,-,Steel,Open,-,"White, Black",Suspension,-,60 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Combined,-,Promax,-,Promax,-,"26 """,Aluminium,Aluminium,-,Mud,Mud,Direct,Direct,Travel,Platform,Travel,Platform,-,Partial,Partial,-,-,-,-
Forward,Iris 816 (2013),16.5 kg,2013,Yes,-,Steel,Open,-,"White, Black (White/Turquoise)",Suspension,-,60 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Combined,-,Promax (TX-117),-,Promax (TX-117),2,"26 """,Yes,Aluminium,-,Mud,-,Direct,Direct,Travel,No,-,Platform,-,Yes,Yes,No,No,-,No
Forward,Jade 1.0 (2014),15.24 kg,2014,-,-,Aluminum Alloy,Open,-,Red,Suspension,-,50 mm,-,Rear,Chain,With an external switch,18,-,-,-,-,Combined,-,Promax,-,Promax,-,"26 """,-,Aluminium,-,Mud,Mud,Direct,Direct,Sports,Platform,-,Platform,-,Partial,Partial,-,-,-,-
Forward,Jade 1.0 (2014),15.24 kg,2014,Yes,-,Aluminum Alloy,Open,-,Red,Suspension,-,50 mm,-,Rear,Chain,With an external switch,18,-,-,-,-,Combined,-,Promax (TX-117),-,Promax (TX-117),-,"26 """,-,Aluminium,-,Mud,-,Direct,Direct,Sports,No,-,Platform,-,Yes,Yes,No,No,-,No
Forward,Jade 2.0 disk (2014),15.5 kg,2014,-,-,Aluminum Alloy,Open,-,Black,Suspension,-,50 mm,-,Rear,Chain,With an external switch,18,-,-,-,-,Combined,-,Promax,-,Promax,-,"26 """,Aluminium,Aluminium,-,Mud,Mud,Direct,Direct,Sports,Platform,-,Platform,-,Partial,Partial,-,-,-,-
Forward,Jade 2.0 disk (2014),15.5 kg,2014,Yes,-,Aluminum Alloy,Open,-,Black,Suspension,-,50 mm,-,Rear,Chain,With an external switch,18,-,-,-,-,Combined,-,Promax (DSK-320),-,Promax (DSK-320),-,"26 """,Yes,Aluminium,-,Mud,-,Direct,Direct,Sports,No,-,Platform,-,Yes,Yes,No,No,-,No
Forward,Jade 3.0 (2014),15.24 kg,2014,-,-,Aluminum Alloy,Open,-,"White, Blue",Suspension,-,50 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Combined,-,Promax,-,Promax,-,"26 """,Aluminium,Aluminium,-,Mud,Mud,Direct,Direct,Sports,Platform,-,Platform,-,Partial,Partial,-,-,-,-
Forward,Jade 3.0 (2014),15.24 kg,2014,Yes,-,Aluminum Alloy,Open,-,"White, Blue",Suspension,-,50 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Combined,-,Promax (TX-117),-,Promax (TX-117),-,"26 """,Yes,Aluminium,-,Mud,-,Direct,Direct,Sports,No,-,Platform,-,Yes,Yes,No,No,-,No
Forward,Jade 4.0 disk (2014),15.5 kg,2014,-,-,Aluminum Alloy,Open,-,"White, Blue",Suspension,-,80 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Combined,-,Promax,-,Promax,-,"26 """,Aluminium,Aluminium,-,Mud,Mud,-,-,Sports,Platform,-,Platform,-,Partial,Partial,-,-,-,-
Forward,Jade 4.0 disk (2014),15.5 kg,2014,Yes,-,Aluminum Alloy,Open,-,"White, Blue",Suspension,-,80 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Combined,-,Promax (DSK-320),-,Promax (DSK-320),-,"26 """,Yes,Aluminium,-,Mud,-,-,-,Sports,No,-,Platform,-,Yes,Yes,No,No,-,No
Forward,Jade 817,14.9 kg,-,-,-,Aluminum Alloy,Open,-,White,Suspension,-,60 mm,-,Rear,Chain,With an external switch,-,-,-,-,-,Combined,-,Promax,-,Promax,-,"26 """,Aluminium,Aluminium,-,Mud,Mud,-,-,Sports,Platform,-,Platform,-,-,-,-,-,-,-
Forward,Jade 817,14.9 kg,-,Yes,-,Aluminum Alloy,Open,-,White,Suspension,-,60 mm,-,Rear,Chain,With an external switch,-,-,-,-,-,Combined,-,Promax (TX-117),-,Promax (TX-117),2,"26 """,Yes,Aluminium,-,Mud,-,-,-,Sports,No,-,Platform,-,Yes,Yes,No,No,-,No
Forward,Jade 885 (2013),14.9 kg,2013,-,-,Aluminum Alloy,Open,-,Red,Suspension,-,60 mm,-,Rear,Chain,With an external switch,18,-,-,-,-,Grip-Shift,-,Promax,-,Promax,-,"26 """,Aluminium,Aluminium,-,Mud,Mud,Direct,Direct,Travel,Platform,Travel,Platform,-,Partial,Partial,-,-,-,-
Forward,Jade 885 (2013),14.9 kg,2013,Yes,-,Aluminum Alloy,Open,-,Red (White),Suspension,-,60 mm,-,Rear,Chain,With an external switch,18,-,-,-,-,Grip-Shift,-,Promax (TX-117),-,Promax (TX-117),2,"26 """,Yes,Aluminium,-,Mud,-,Direct,Direct,Travel,No,-,Platform,-,Yes,Yes,No,No,-,No
Forward,Katana 817 disk (2013),17.1 kg,2013,-,-,Steel,Closed,-,Black,Suspension,-,60 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Combined,-,Promax,-,Promax,-,"26 """,Aluminium,Aluminium,-,Mud,Mud,-,-,Sports,Platform,Sports,Platform,-,Partial,Partial,-,-,-,-
Forward,Katana 817 disk (2013),17.1 kg,2013,No,-,Steel,Closed,-,Black,Suspension,-,60 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Combined,-,Promax (DSK-320),-,Promax (DSK-320),-,"26 """,Yes,Aluminium,-,Mud,-,-,-,Sports,No,-,Platform,-,Yes,Yes,No,No,-,No
Forward,Next 1.0 (2014),14.85 kg,2014,-,-,Aluminum Alloy,Closed,-,Yellow,Suspension,-,100 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Combined,-,Promax DSK-320,-,Promax DSK-320,-,"26 """,Aluminium,Aluminium,-,Mud,Mud,With the rise of,With the rise of,Sports,Platform,-,Platform,-,Partial,Partial,-,-,-,-
Forward,Next 1.0 (2014),14.85 kg,2014,No,-,Aluminum Alloy,Closed,-,Yellow,Suspension,-,100 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Combined,-,Promax DSK-320,-,Promax DSK-320,-,"26 """,Yes,Aluminium,-,Mud,-,With the rise of,With the rise of,Sports,No,-,Platform,-,Yes,Yes,No,No,-,No
Forward,Next 2.0 (2014),15 kg,2014,-,-,Aluminum Alloy,Closed,-,Black,Suspension,-,100 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Combined,-,Promax DSK-320,-,Promax DSK-320,-,"26 """,Aluminium,Aluminium,-,Mud,Mud,Direct,Direct,Sports,Platform,-,Platform,-,Partial,Partial,-,-,-,-
Forward,Next 2.0 (2014),15 kg,2014,No,-,Aluminum Alloy,Closed,-,Black (Matt),Suspension,-,100 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Combined,-,Promax DSK-320,-,Promax DSK-320,-,"26 """,Yes,Aluminium,-,Mud,-,Direct,Direct,Sports,No,-,Platform,-,Yes,Yes,No,No,-,No
Forward,Next 817 (2013),14.9 kg,2013,-,-,Aluminum Alloy,Closed,-,Black,Suspension,-,50 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Combined,-,Tektro,-,Tektro,-,"26 """,Aluminium,Aluminium,-,Mud,Mud,Direct,Direct,Sports,Platform,Sports,Platform,-,Partial,Partial,-,-,-,-
Forward,Next 817 (2013),14.9 kg,2013,No,-,Aluminum Alloy,Closed,-,Black,Suspension,-,50 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Combined,-,Tektro (836AL),-,Tektro (836AL),-,"26 """,Yes,Aluminium,-,Mud,-,Direct,Direct,Sports,No,-,Platform,-,Yes,Yes,No,No,-,No
Forward,Next 818 disk,15.2 kg,-,-,-,Aluminum Alloy,Closed,-,White,Suspension,-,100 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Combined,-,Promax,-,Promax,-,"26 """,Aluminium,Aluminium,-,Mud,Mud,-,-,Sports,Platform,Sports,Platform,-,Partial,Partial,-,-,-,-
Forward,Next 818 disk,15.2 kg,-,No,-,Aluminum Alloy,Closed,-,White,Suspension,-,100 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Combined,-,Promax (DSK-320),-,Promax (DSK-320),2,"26 """,Yes,Aluminium,-,Mud,-,-,-,Sports,No,-,Platform,-,Yes,Yes,No,No,-,No
Forward,Omega 162,15.5 kg,-,-,-,Steel,Open,-,"Blue, Black",Tough,-,-,-,Rear,Chain,With an external switch,6,-,-,-,-,-,-,V-brake,-,V-brake,-,"20 """,Aluminium,Aluminium,-,Semi slicks,Semi slicks,Direct,Direct,Comfortable,Platform,Comfortable,Platform,-,-,-,-,-,-,-
Forward,Omega 162,15.5 kg,-,No,-,Steel,Open,-,"Black, Blue (Dark-Red/Orange, White/Green, White/Red)",Tough,-,-,-,Rear,Chain,With an external switch,6,Prowheel,-,-,Shimano Tourney RD-TY18,-,Shimano Revo Shift SL-RS35,Rim mechanical,V-brake,Rim mechanical,2,"20 """,No,Aluminium,-,Semi slicks,Wanda,Direct,Direct,Comfortable,Yes,Cionlli,Platform,-,Yes,Yes,Yes,No,Yes,No
Forward,Parma 1.0 (2014),16.9 kg,2014,-,-,Steel,Closed,-,White,Tough,-,-,-,Rear,Chain,1-speed (?????????),-,-,-,-,-,-,-,-,-,-,-,"26 """,-,Aluminium,-,-,"1.95""",With the rise of,With the rise of,Comfortable,???????,-,Platform,-,Partial,Partial,-,-,-,-
Forward,Parma 1.0 (2014),16.9 kg,2014,No,-,Steel,Closed,-,White (?????????),Tough,-,-,-,Rear,Chain,1-speed (?????????),-,-,-,-,-,-,-,-,-,-,-,"26 """,-,Aluminium,-,-,-,With the rise of,With the rise of,Comfortable,Yes ???????,-,Platform,-,Yes,Yes,Yes,No,-,No
Forward,Parma 2.0 (2014),-,2014,Steel,-,Steel,Closed,-,Black,Tough,-,-,-,Rear,Chain,With an external switch,6,-,-,-,-,Grip-Shift,-,Promax TX-119,-,Promax TX-119,-,"26 """,-,Aluminium,-,-,"1.95""",Direct,Direct,Comfortable,???????,-,Platform,-,Partial,Partial,-,-,-,-
Forward,Parma 2.0 (2014),-,2014,No,-,Steel,Closed,-,Black (?????????),Tough,-,-,-,Rear,Chain,With an external switch,6,-,-,-,-,Grip-Shift,-,Promax TX-119,-,Promax TX-119,-,"6 """,-,Aluminium,-,-,-,Direct,Direct,Comfortable,Yes ???????,-,Platform,-,Yes,Yes,Yes,No,-,No
Forward,Parma 760 (2013),18.2 kg,2013,-,-,Steel,Closed,-,Golden,Tough,-,-,-,Rear,Chain,With an external switch,6,-,-,-,-,Grip-Shift,-,Promax,-,Promax,-,"26 """,-,Aluminium,-,Slicks,-,-,-,Comfortable,???????,Comfortable,Platform,-,-,-,-,-,-,-
Forward,Parma 760 (2013),18.2 kg,2013,No,-,Steel,Closed,-,Golden,Tough,-,-,-,Rear,Chain,With an external switch,6,-,-,-,-,Grip-Shift,-,Promax (TX-117),-,Promax (TX-117),-,"26 """,-,Aluminium,-,Slicks,-,-,-,Comfortable,Yes ???????,-,Platform,-,Yes,Yes,No,No,-,No
Forward,Portsmouth 1.0 (2014),17.4 kg,2014,-,-,Steel,Open,-,White,Tough,-,-,-,Rear,Chain,1-speed (?????????),1,-,-,-,-,-,-,-,-,-,-,"28 """,Aluminium,Aluminium,-,Slicks,Slicks,With the rise of,With the rise of,Comfortable,???????,-,Platform,-,Partial,Partial,-,-,-,-
Forward,Portsmouth 1.0 (2014),17.4 kg,2014,Yes,-,Steel,Open,-,White,Tough,-,-,-,Rear,Chain,1-speed (?????????),1,-,-,-,-,-,-,-,-,-,-,"28 """,Yes,Aluminium,-,Slicks,-,With the rise of,With the rise of,Comfortable,Yes ???????,-,Platform,-,Yes,Yes,Yes,No,-,No
Forward,Quadro 1.0 (2014),14.7 kg,2014,-,-,Aluminum Alloy,Open,-,White,Suspension,-,100 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Combined,-,Tektro,-,Tektro,-,"26 """,Aluminium,Aluminium,-,Mud,Mud,With the rise of,With the rise of,Sports,Platform,-,Platform,-,Partial,Partial,-,-,-,-
Forward,Quadro 1.0 (2014),14.7 kg,2014,No,-,Aluminum Alloy,Open,-,White,Suspension,-,100 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Combined,-,Tektro (836AL),-,Tektro (836AL),-,"26 """,Yes,Aluminium,-,Mud,-,With the rise of,With the rise of,Sports,No,-,Platform,-,Yes,Yes,No,No,-,No
Forward,Quadro 2.0 disk (2014),-,2014,Aluminum Alloy,-,Aluminum Alloy,Closed,-,"Yellow, Light blue, Black",Suspension,-,100 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Combined,-,Promax,-,Promax,-,"26 """,Aluminium,Aluminium,-,Mud,Mud,Direct,Direct,Sports,Platform,-,Platform,-,Partial,Partial,-,-,-,-
Forward,Quadro 2.0 disk (2014),-,2014,No,-,Aluminum Alloy,Closed,-,"Yellow, Light blue, Black",Suspension,-,100 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Combined,-,Promax (DSK-320),-,Promax (DSK-320),-,"26 """,Yes,Aluminium,-,Mud,-,Direct,Direct,Sports,No,-,Platform,-,Yes,Yes,No,No,-,No
Forward,Quadro 3.0 29 disk (2014),-,2014,Aluminum Alloy,-,Aluminum Alloy,Closed,-,"White, Gray",Suspension,-,100 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Trigger,-,Tektro HDC300,-,Tektro HDC300,-,"29 """,Aluminium,Aluminium,-,Mud,Mud,Direct,Direct,Sports,Platform,-,Platform,-,Partial,Partial,-,-,-,-
Forward,Quadro 3.0 29 disk (2014),-,2014,No,-,Aluminum Alloy,Closed,-,"White, Gray",Suspension,-,100 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Trigger,-,Tektro HDC300,-,Tektro HDC300,-,"29 """,Yes,Aluminium,-,Mud,-,Direct,Direct,Sports,No,-,Platform,-,Yes,Yes,No,No,-,No
Forward,Quadro 3.0 disk (2014),-,2014,Aluminum Alloy,-,Aluminum Alloy,Closed,-,"Gray, Light blue",Suspension,-,100 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Trigger,-,Tektro HDC300,-,Tektro HDC300,-,"26 """,Aluminium,Aluminium,-,Mud,Mud,Direct,Direct,Sports,Platform,-,Platform,-,Partial,Partial,-,-,-,-
Forward,Quadro 3.0 disk (2014),-,2014,No,-,Aluminum Alloy,Closed,-,"Gray, Light blue",Suspension,-,100 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Trigger,-,Tektro HDC300,-,Tektro HDC300,-,"26 """,Yes,Aluminium,-,Mud,-,Direct,Direct,Sports,No,-,Platform,-,Yes,Yes,No,No,-,No
Forward,Quadro 817,15 kg,-,-,-,Aluminum Alloy,Closed,-,Blue,Suspension,-,-,-,Rear,Chain,With an external switch,21,-,-,-,-,Combined,-,V-brake,-,V-brake,-,"26 """,Aluminium,Aluminium,-,Mud,Mud,With the rise of,With the rise of,Sports,Platform,Sports,Platform,-,-,-,-,-,-,-
Forward,Quadro 817,15 kg,-,No,No,Aluminum Alloy,Closed,-,Blue (Silver),Suspension,Spring-elastomer,-,Zoom 430,Rear,Chain,With an external switch,21,Prowheel,-,Shimano Tourney FD-TX50,Shimano Tourney RD-TX35,Trigger,Shimano EF40,Rim mechanical,V-brake,Rim mechanical,2,"26 """,Yes,Aluminium,Weinmann,Mud,Kenda Koyote,With the rise of,With the rise of,Sports,No,Cionlli,Platform,-,Yes,Yes,No,No,No,No
Forward,Quadro 818 disk,15.2 kg,-,-,-,Aluminum Alloy,Closed,-,"Green, Blue, Black",Suspension,-,100 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Trigger,-,Promax,-,Promax,-,"26 """,Aluminium,Aluminium,-,Mud,Mud,-,-,Sports,Platform,Sports,Platform,-,Partial,Partial,-,-,-,-
Forward,Quadro 818 disk,15.2 kg,-,No,-,Aluminum Alloy,Closed,-,"Green, Blue, Black",Suspension,-,100 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Trigger,-,Promax (DSK-320),-,Promax (DSK-320),2,"26 """,Yes,Aluminium,-,Mud,-,-,-,Sports,No,-,Platform,-,Yes,Yes,No,No,-,No
Forward,Raptor 1.0 (2014),18.2 kg,2014,-,-,Steel,Open,-,Blue,Suspension,-,50 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Combined,-,Promax,-,Promax,-,"26 """,Aluminium,Aluminium,-,Mud,Mud,With the rise of,With the rise of,Sports,Platform,-,Platform,-,Partial,Partial,-,-,-,-
Forward,Raptor 1.0 (2014),18.2 kg,2014,No,-,Steel,Open,-,Blue,Suspension,-,50 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Combined,-,Promax (TX-117),-,Promax (TX-117),-,"26 """,Yes,Aluminium,-,Mud,-,With the rise of,With the rise of,Sports,No,-,Platform,-,Yes,Yes,No,No,-,No
Forward,Raptor 2.0 disk (2014),18.4 kg,2014,-,-,Steel,Open,-,Silver,Suspension,-,60 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Combined,-,Promax DSK-320,-,Promax DSK-320,-,"26 """,Aluminium,Aluminium,-,Mud,Mud,With the rise of,With the rise of,Sports,Platform,-,Platform,-,Partial,Partial,-,-,-,-
Forward,Raptor 2.0 disk (2014),18.4 kg,2014,No,-,Steel,Open,-,Silver,Suspension,-,60 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Combined,-,Promax DSK-320,-,Promax DSK-320,-,"26 """,Yes,Aluminium,-,Mud,-,With the rise of,With the rise of,Sports,No,-,Platform,-,Yes,Yes,No,No,-,No
Forward,Raptor 918,18.1 kg,-,-,-,Steel,Open,-,Silver,Suspension,-,60 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Trigger,-,Promax,-,Promax,-,"26 """,Aluminium,Aluminium,-,Mud,Mud,-,-,Sports,Platform,Sports,Platform,-,Partial,Partial,-,-,-,-
Forward,Raptor 918,18.1 kg,-,No,-,Steel,Open,-,Silver,Suspension,-,60 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Trigger,-,Promax (TX-117),-,Promax (TX-117),2,"26 """,Yes,Aluminium,-,Mud,-,-,-,Sports,No,-,Platform,-,Yes,Yes,No,No,-,No
Forward,Raptor 985,17.2 kg,-,-,-,Steel,Open,-,White,Suspension,-,50 mm,-,Rear,Chain,With an external switch,18,-,-,-,-,Grip-Shift,-,Promax,-,Promax,-,"26 """,Aluminium,Aluminium,-,Mud,Mud,-,-,Sports,Platform,Sports,Platform,-,Partial,Partial,-,-,-,-
Forward,Raptor 985,17.2 kg,-,No,-,Steel,Open,-,White,Suspension,-,50 mm,-,Rear,Chain,With an external switch,18,-,-,-,-,Grip-Shift,-,Promax (TX-117),-,Promax (TX-117),2,"26 """,Yes,Aluminium,-,Mud,-,-,-,Sports,No,-,Platform,-,Yes,Yes,No,No,-,No
