Fiyat,Marka,Model,Model Yılı,Bisiklet Sınıfı,Kullanıcı Sınıfı,Yaş Grubu,Cinsiyet,Vites Sayısı,Kadro Malzemesi,Ağırlık,Jant Çapı,Jant Malzemesi,Fren Tipi,Amortisör,Amortisör Konumu,Amortisör Türü,Elektrik Motoru,Akü Gerilimi,Akü Kapasitesi,Motor Gücü,Azami Sürüş Menzili,Şarj Süresi
1464,Carraro,Force 401,2020,Dağ Bisikleti,Yetişkin,----,Kadın,21,Alüminyum / Alaşım,----,24 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
1850,Carraro,Force 410,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,24 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Carraro,Force 420,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,24 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
1850,Carraro,Force 600,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Carraro,Force 601,2020,Dağ Bisikleti,Yetişkin,----,Kadın,21,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
2040,Carraro,Force 610,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
1930,Carraro,Force 620,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Carraro,Force 621,2020,Dağ Bisikleti,Yetişkin,----,Kadın,21,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
2450,Carraro,Force 650,2020,Dağ Bisikleti,Yetişkin,----,Erkek,24,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
1899,Carraro,Force 700,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,27.5 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Carraro,Force 701,2020,Dağ Bisikleti,Yetişkin,----,Kadın,21,Alüminyum / Alaşım,----,27.5 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
2649,Carraro,Force 720,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,27.5 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Carraro,Force 750,2020,Dağ Bisikleti,Yetişkin,----,Erkek,24,Alüminyum / Alaşım,----,27.5 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Carraro,Force 751,2020,Dağ Bisikleti,Yetişkin,----,Kadın,24,Alüminyum / Alaşım,----,27.5 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
3250,Carraro,Force 770,2020,Dağ Bisikleti,Yetişkin,----,Erkek,27,Alüminyum / Alaşım,----,27.5 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Carraro,Force 900,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,29 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Carraro,Force 920,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,29 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Carraro,Force 950,2020,Dağ Bisikleti,Yetişkin,----,Erkek,24,Alüminyum / Alaşım,----,29 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Carraro,Force 970,2020,Dağ Bisikleti,Yetişkin,----,Erkek,27,Alüminyum / Alaşım,----,29 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Carraro,Grace 24,2016,Şehir/Tur Bisikleti,Yetişkin,----,Kadın,18,Alüminyum / Alaşım,----,24 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Carraro,Grande 703,2017,Şehir/Tur Bisikleti,Yetişkin,----,Kadın,21,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Carraro,Grande 704,2017,Şehir/Tur Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Carraro,Grande 705,2017,Şehir/Tur Bisikleti,Yetişkin,----,Kadın,21,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
1776,Carraro,Juliana 24,2020,Şehir/Tur Bisikleti,Yetişkin,----,Kadın,7,Çelik,----,24 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Carraro,Juliana 26,2020,Şehir/Tur Bisikleti,Yetişkin,----,Kadın,7,Çelik,----,26 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Carraro,Juliana 28,2020,Şehir/Tur Bisikleti,Yetişkin,----,Kadın,7,Çelik,----,28 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Carraro,Juliet 26,2020,Şehir/Tur Bisikleti,Yetişkin,----,Kadın,21,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Carraro,Juliet 28,2020,Şehir/Tur Bisikleti,Yetişkin,----,Kadın,21,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Carraro,Kifuka 27.5,2020,Dağ Bisikleti / Elektrikli Bisiklet,Yetişkin,----,Erkek,10,Alüminyum / Alaşım,----,27.5 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Havalı,Var,36 V,14 Ah,250 W,100 km,4 sa
----,Carraro,Kifuka 29,2020,Dağ Bisikleti / Elektrikli Bisiklet,Yetişkin,----,Erkek,10,Alüminyum / Alaşım,----,29 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Havalı,Var,36 V,14 Ah,250 W,100 km,4 sa
----,Carraro,Manifesto,2019,Şehir/Tur Bisikleti,Yetişkin,----,Erkek,18,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Yok,----,----,----,----,----,----,----,----
----,Carraro,Modena,2020,Şehir/Tur Bisikleti,Yetişkin,----,Kadın,7,Çelik,----,28 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
910,Carraro,Moggy 16,2019,Şehir/Tur Bisikleti,Çocuk,----,Kadın,1,Alüminyum / Alaşım,----,16 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Carraro,Moggy 20,2019,Şehir/Tur Bisikleti,Çocuk,----,Kadın,1,Alüminyum / Alaşım,----,20 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
746,Carraro,Monster 16,2019,Şehir/Tur Bisikleti,Çocuk,----,Erkek,1,Alüminyum / Alaşım,----,16 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
949,Carraro,Monster 20,2019,Şehir/Tur Bisikleti,Çocuk,----,Erkek,1,Alüminyum / Alaşım,----,20 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
2468,Carraro,Race 002,2020,Yol/Yarış Bisikleti,Yetişkin,----,Erkek,14,Alüminyum / Alaşım,----,24 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
2469,Carraro,Race 006,2020,Yol/Yarış Bisikleti,Yetişkin,----,Erkek,14,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,Kumpas Frenli,Yok,----,----,----,----,----,----,----,----
2229,Carraro,Race 011,2020,Yol/Yarış Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,Kumpas Frenli,Yok,----,----,----,----,----,----,----,----
2217,Carraro,Race 012,2020,Yol/Yarış Bisikleti,Yetişkin,----,Erkek,14,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,Kumpas Frenli,Yok,----,----,----,----,----,----,----,----
4150,Carraro,Race 042,2019,Yol/Yarış Bisikleti,Yetişkin,----,Erkek,18,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,Kumpas Frenli,Yok,----,----,----,----,----,----,----,----
1720,Carraro,Rave BMX,2019,Özel Tasarım,Yetişkin,----,Erkek,1,Alüminyum / Alaşım,----,20 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
764,Carraro,Red Eagle 14,2019,Şehir/Tur Bisikleti,Çocuk,----,Unisex,1,Alüminyum / Alaşım,----,14 inç,Alüminyum / Alaşım,Kumpas Frenli,Yok,----,----,----,----,----,----,----,----
----,Carraro,Red Eagle 16,2019,Şehir/Tur Bisikleti,Çocuk,----,Unisex,1,Alüminyum / Alaşım,----,16 inç,Alüminyum / Alaşım,Kumpas Frenli,Yok,----,----,----,----,----,----,----,----
----,Carraro,Rhino Fat E-Bike,2020,Dağ Bisikleti / Elektrikli Bisiklet,Yetişkin,----,Erkek,10,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Yok,----,----,Var,----,----,250 W,100 km,5 sa
----,Carraro,Speed 240,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Çelik,----,24 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Carraro,Speed 241,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,24 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Carraro,Speed 242,2020,Dağ Bisikleti,Yetişkin,----,Kadın,21,Çelik,----,24 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
1439,Carraro,Speed 260,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Çelik,----,26 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
1599,Carraro,Speed 262,2020,Dağ Bisikleti,Yetişkin,----,Kadın,21,Çelik,----,26 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Carraro,Sportive 124,2017,Şehir/Tur Bisikleti,Yetişkin,----,Erkek,24,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Carraro,Sportive 220,2020,Şehir/Tur Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Carraro,Sportive 221,2016,Şehir/Tur Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Carraro,Sportive 222,2020,Şehir/Tur Bisikleti,Yetişkin,----,Kadın,21,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
2583,Carraro,Sportive 223,2020,Şehir/Tur Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Carraro,Sportive 224,2020,Şehir/Tur Bisikleti,Yetişkin,----,Erkek,24,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Carraro,Sportive 225,2020,Şehir/Tur Bisikleti,Yetişkin,----,Erkek,24,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Carraro,Sportive 226,2020,Şehir/Tur Bisikleti,Yetişkin,----,Kadın,24,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Carraro,Sportive 227,2019,Şehir/Tur Bisikleti,Yetişkin,----,Erkek,27,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
6100,Carraro,Sportive 230,2019,Şehir/Tur Bisikleti,Yetişkin,----,Erkek,30,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Carraro,Sportive 321,2020,Şehir/Tur Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Carraro,Sportive 323 28,2016,Şehir/Tur Bisikleti,Yetişkin,----,Erkek,24,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Carraro,Sportive 324,2020,Şehir/Tur Bisikleti,Yetişkin,----,Erkek,24,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Yok,----,----,----,----,----,----,----,----
----,Carraro,Sportive 325,2020,Şehir/Tur Bisikleti,Yetişkin,----,Kadın,24,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Yok,----,----,----,----,----,----,----,----
----,Carraro,Sportive 327,2020,Şehir/Tur Bisikleti,Yetişkin,----,Erkek,27,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Carraro,Sportive 328,2020,Şehir/Tur Bisikleti,Yetişkin,----,Erkek,27,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Yok,----,----,----,----,----,----,----,----
----,Carraro,Sportive 330,2019,Şehir/Tur Bisikleti,Yetişkin,----,Erkek,30,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Yok,----,----,----,----,----,----,----,----
----,Carraro,Sportive Belt Alfine,2019,Şehir/Tur Bisikleti,Yetişkin,----,Erkek,8,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Yok,----,----,----,----,----,----,----,----
4680,Carraro,Sportive Belt,2019,Şehir/Tur Bisikleti,Yetişkin,----,Erkek,8,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Yok,----,----,----,----,----,----,----,----
----,Carraro,Stones 20,----,Dağ Bisikleti,Çocuk,----,Erkek,18,Çelik,----,20 inç,Alüminyum / Alaşım,V Frenli,Var,Ön ve Arka,Yaylı,----,----,----,----,----,----
----,Carraro,Street 24,2018,Şehir/Tur Bisikleti,Yetişkin,----,Kadın,18,Alüminyum / Alaşım,----,24 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Carraro,Street 26,2016,Şehir/Tur Bisikleti,Yetişkin,----,Kadın,7,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Carraro,Süngerbob 20,----,Şehir/Tur Bisikleti,Çocuk,----,Erkek,1,Çelik,----,20 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Carraro,Troya,2020,Katlanır Bisiklet,Yetişkin,----,Unisex,7,Alüminyum / Alaşım,----,20 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Coranna,2490 Castor,2018,Dağ Bisikleti,Yetişkin,----,Erkek,21,Çelik,----,24 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Coranna,2491 Castor,2018,Şehir/Tur Bisikleti,Yetişkin,----,Kadın,21,Çelik,----,24 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Coranna,2690 Castor,2018,Dağ Bisikleti,Yetişkin,----,Erkek,21,Çelik,----,26 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Coranna,2691 Castor,2018,Dağ Bisikleti,Yetişkin,----,Kadın,21,Çelik,----,26 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
1165,Corelli,Adonis 1.0,2017,Dağ Bisikleti,Yetişkin,----,Kadın,21,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Corelli,Adonis 1.1,2017,Dağ Bisikleti,Yetişkin,----,Kadın,21,Alüminyum / Alaşım,----,24 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Corelli,Adonis 1.2,2017,Dağ Bisikleti,Çocuk,----,Kadın,18,Alüminyum / Alaşım,----,20 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Corelli,Adonis 2.0,2017,Dağ Bisikleti,Yetişkin,----,Kadın,21,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Corelli,Adonis 2.1,2017,Dağ Bisikleti,Yetişkin,----,Kadın,21,Alüminyum / Alaşım,----,24 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Corelli,Adonis 2.2,2017,Dağ Bisikleti,Çocuk,----,Kadın,18,Alüminyum / Alaşım,----,20 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
719,Corelli,Agile 1.0,2018,Şehir/Tur Bisikleti,Çocuk,----,Erkek,1,----,----,16 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Corelli,Agile 2.0,2018,Şehir/Tur Bisikleti,Çocuk,----,Erkek,1,----,----,20 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Corelli,Agile 3.0,2018,Şehir/Tur Bisikleti,Çocuk,----,Erkek,6,----,----,20 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
3017,Corelli,Alize,2020,Şehir/Tur Bisikleti,Yetişkin,----,Kadın,24,Alüminyum / Alaşım,15.3 kg,28 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
1077,Corelli,Apenin 1.0,2018,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,V Frenli,Var,Ön ve Arka,Yaylı,----,----,----,----,----,----
1090,Corelli,Apenin 1.1,2018,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,24 inç,Alüminyum / Alaşım,V Frenli,Var,Ön ve Arka,Yaylı,----,----,----,----,----,----
1169,Corelli,Apenin 1.2,2018,Dağ Bisikleti,Çocuk,----,Erkek,18,Alüminyum / Alaşım,----,20 inç,Alüminyum / Alaşım,V Frenli,Var,Ön ve Arka,Yaylı,----,----,----,----,----,----
----,Corelli,Apenin 2.0,2019,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,16.4 kg,26 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Var,Ön ve Arka,Yaylı,----,----,----,----,----,----
----,Corelli,Apenin 2.1,2019,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,16.1 kg,24 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Var,Ön ve Arka,Yaylı,----,----,----,----,----,----
1292,Corelli,Apenin 2.2,2019,Dağ Bisikleti,Çocuk,----,Erkek,18,Alüminyum / Alaşım,14.4 kg,20 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Var,Ön ve Arka,Yaylı,----,----,----,----,----,----
1519,Corelli,Atrox 1.0,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,15.4 kg,26 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
1419,Corelli,Atrox 1.1,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,15.4 kg,27.5 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
1576,Corelli,Atrox 1.2,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,15.4 kg,29 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
2014,Corelli,Atrox 2.0,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,16 kg,26 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
2204,Corelli,Atrox 2.1,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,16 kg,27.5 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
2148,Corelli,Atrox 2.2,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,16 kg,29 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
2400,Corelli,Atrox 3.1,2020,Dağ Bisikleti,Yetişkin,----,Erkek,24,Alüminyum / Alaşım,15.46 kg,27.5 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
2309,Corelli,Atrox 3.2,2020,Dağ Bisikleti,Yetişkin,----,Erkek,24,Alüminyum / Alaşım,15.46 kg,29 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
1060,Corelli,Banner,2020,Dağ Bisikleti,Yetişkin,----,Kadın,21,Alüminyum / Alaşım,14.53 kg,26 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Corelli,Beauty 1.0,2018,Şehir/Tur Bisikleti,Yetişkin,----,Kadın,21,----,----,26 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Corelli,Beauty 1.1,2018,Şehir/Tur Bisikleti,Yetişkin,----,Kadın,21,----,----,24 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Corelli,Beauty 2.0,2018,Şehir/Tur Bisikleti,Yetişkin,----,Kadın,21,----,----,26 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
1320,Corelli,Beauty 2.1,2018,Şehir/Tur Bisikleti,Yetişkin,----,Kadın,21,----,----,24 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
2389,Corelli,Boolva RC 100,2020,Yol/Yarış Bisikleti,Yetişkin,----,Erkek,16,Alüminyum / Alaşım,11.76 kg,28 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
3189,Corelli,Boolva RC 200,2020,Yol/Yarış Bisikleti,Yetişkin,----,Erkek,16,Alüminyum / Alaşım,11.31 kg,28 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Corelli,Carmen 1.0,2018,Şehir/Tur Bisikleti,Yetişkin,----,Kadın,21,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Corelli,Carmen 2.0,2018,Şehir/Tur Bisikleti,Yetişkin,----,Kadın,21,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
1389,Corelli,Chronic 1.0,2018,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Corelli,Chronic 1.1,2018,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,27.5 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
1354,Corelli,Chronic 1.2,2018,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,29 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
1506,Corelli,Chronic 2.0,2019,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,15.3 kg,26 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
1590,Corelli,Chronic 2.1,2019,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,15.4 kg,27.5 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
1799,Corelli,Chronic 2.2,2019,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,16 kg,29 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Corelli,Cyborg 1.0,2017,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Corelli,Cyborg 1.1,2017,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,27.5 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Corelli,Cyborg 1.2,2017,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,29 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Corelli,Cyborg 2.0,2017,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
