Brand;Model;Price;Type;Weight ;Frame Size;Rear Derailleur;Speed;Fork;Brakes
Cube;Nuroad Pro FE Road Bike 2021;1199;Road;11.9 kg;"50cm (19.5""), 61cm (24""), 56cm (22""), 53.5cm (21"")";Shimano Tiagra RD-4700GS, 10-Speed;20 Speed;"CUBE Nuroad Flat Mount Disc, Full Carbon, 1 1/8"" - 1 1/4"" Tapered, Fender & Lowrider Mounts, 12x100mm";TRP Spyre MD-C610C, Flat Mount (160/160)
Vitus;Zenium CR Road Bike (105) 2020;1199,99;Road;9.3kg;M;Shimano 105 RD-R7000-GS, 11-Speed, Direct Mount;22 Speed;UD Carbon Full Carbon tapered steerer, 100 x 12mm;Shimano 105 ST-R7020 & BR-R7070, Hydraulic
Cube;Attain SL Road Bike 2021;1299;Road;10.0kg;"50cm (19.5""), 58cm (22.75""), 60cm (23.5""), 56cm (22""), 53.5cm (21"")";Shimano 105 RD-R7000-DGS, 11-Speed;22 Speed;"CUBE CSL Race Disc, Full Carbon, 1 1/8"" - 1 1/4"" Tapered, Flat Mount, 12x100mm";Shimano 105 BR-R7070, Hydr. Disc Brake, Flat Mount (160/160)
Cube;Axial WS Race Road Bike 2021;1299;Road;9.9 kg;"50cm (19.5""), 53.5cm (21""), 56cm (22""), 47cm (18.5"")";Shimano 105 RD-R7000-DGS, 11-Speed;22 Speed;"CUBE CSL Race Disc, One Piece 3D-Forged Steerer/Crown, Carbon Blades, 1 1/8"" - 1 1/4"" Tapered, Flat Mount, 12x100mm";Shimano 105 BR-R7070, Hydr. Disc Brake, Flat Mount (160/160)
Cube;Nuroad Race Road Bike 2021;1399;Road;10.4kg;"61cm (24""), 53.5cm (21""), 56cm (22""), 50cm (19.5"")";Shimano GRX RD-RX810, Direct Mount, 11-Speed;22 Speed;"CUBE Nuroad Flat Mount Disc, Full Carbon, 1 1/8"" - 1 1/4"" Tapered, Fender & Lowrider Mounts, 12x100mm";Shimano BR-RX400, Hydr. Disc Brake, Flat Mount (160/160)
Rondo;Booz ST Urban Bike 2020;1449,99;Hybrid - City;10.5kg;M;SRAM NX Eagle 1, 11-Speed;11 Speed;Twintip Carbon;Shimano BR405
Cube;SL Road SL Bike 2021;1499;Road;9.7kg;"62cm (24.5""), 53.5cm (21"")";Shimano Ultegra RD-R8000-DGS, 11-Speed;22 Speed;CUBE TS Disc, Full Carbon, Taper, Flat Mount, 12x100mm;Shimano BR-RS405, Hydr. Disc Brake, Flat Mount (160/160)
Nukeproof;Scout 275 Comp Bike (Deore12) 2021;1549,99;Mountain;13.3kgs/29.3lbs (Tubeless);M, XL, S, L;Shimano Deore M6100, SGS 12-Speed, Shadow Plus;12 Speed;Marzocchi Bomber Z2, 140mm, 44mm Offset, BOOST, RAIL Damper, Gloss Black (SHORT ID: D6SZ);Shimano Deore M6120 4 pot hydraulic disc brakes, Resin Pads
Nukeproof;Scout 290 Comp Bike (Deore12) 2021;1549,99;Mountain;13.47kgs/29.6lbs (Tubeless);M, L, XL;Shimano Deore M6100, SGS 12-Speed, Shadow Plus;12 Speed;Marzocchi Bomber Z2, 130mm, 44mm Offset, BOOST, RAIL Damper, Gloss Black (SHORT ID: D6SY);Shimano Deore M6120 4 pot brake, Resin Pads
Cube;Nuroad Race FE Road Bike 2021;1599;Road;9kg;"53.5cm (21""), 58cm (22.75""), 56cm (22""), 61cm (24"")";Shimano GRX RD-RX810, Direct Mount, 11-Speed;22 Speed;"CUBE Nuroad Flat Mount Disc, Full Carbon, 1 1/8"" - 1 1/4"" Tapered, Fender & Lowrider Mounts, 12x100mm";Shimano BR-RX400, Hydr. Disc Brake, Flat Mount (160/160)
Vitus;Vitesse EVO CR Road Bike (105) 2020;1599,99;Road;11.7 kg;XS;Shimano 105 R7000-GS, 11-Speed, Direct Mount;22 Speed;Integrated UD Carbon, Full Carbon tapered steerer, 100 x 12mm;Shimano 105 R7000 Hydraulic ST-R7020 & BR-R7070, 140mm Rotor, Resin pad with cooling fin
Cube;Reaction C:62 Pro Hardtail Bike 2021;1699;Mountain;11.6kg;"43.5cm (17""), 53cm (21""), 48cm (19""), 59cm (23"")";Shimano XT RD-M8100-SGS, ShadowPlus, 12-Speed;12 Speed;RockShox Judy Gold RL Air, 100mm, PopLoc, 15x110mm;Shimano XT BR-M8100, Hydr. Disc Brake (180/160)
Vitus;ZX1 CR Road Bike (105) 2020;1699,99;Road;8.41kg (medium);XS;Shimano 105 R7000-SS, 11-Speed, Direct Mount;22 Speed;Integrated UD Carbon, Full Carbon tapered steerer, 100 x 12mm;Shimano 105 R7000 Hydraulic ST-R7020 & BR-R7070, Resin pad with cooling fin
Cube;Stereo 120 Race 29 Suspension Bike 2021;1999;Mountain;14.6kg;L, M, XL;Shimano XT RD-M8100-SGS, ShadowPlus, 12-Speed;12 Speed;RockShox Recon Gold RL Air, Tapered, 15x110mm, 130mm travel;Shimano BR-MT500, Hydr. Disc Brake (180/180mm rotors)
Cube;Attain GTC SL Road Bike 2021;1999;Road;8.02kg (medium);"58cm (22.75""), 56cm (22""), 60cm (23.5""), 62cm (24.5""), 53.5cm (21"")";Shimano Ultegra RD-R8000-DGS, 11-Speed;22 Speed;"CUBE CSL Race Disc, Full Carbon, Flat Mount, 1 1/8"" - 1 1/4"" Tapered, 12x100mm";Shimano 105 BR-R7070, Hydr. Disc Brake, Flat Mount (160/160)
Vitus;Escarpe 27 CR Mountain Bike 2021;1999,99;Mountain;14.85kg (Medium frame, tubeless setup);M, XL, S, L;Shimano Deore M6100 Shadow plus, long cage, 12 speed;11 Speed;Marzocchi Bomber Z2 27.5” Rail damper, Float air spring, 34mm stanchions, 150mm travel, 110mm x 15mm QR axle 44mm rake;Shimano MT420
Vitus;Escarpe 29 CR Mountain Bike 2021;1999,99;Mountain;15.15kg (Medium frame, Tubeless setup);L, S, XL, M;Shimano Deore M6100 Shadow plus, long cage, 12 speed;11 Speed;Marzocchi Bomber Z2 29” Rail damper, Float air spring, 34mm stanchions, 150mm travel, 110mm x 15mm QR axle 44mm rake;Shimano MT420
Vitus;Zenium CRS Road Bike (Ultegra) 2021;1999,99;Road;8.8kg;L, S, XL, XXL, XS, M;Shimano Ultegra R8000 RD-R8000, 11 Speed, Long Cage;11 Speed;Zenium Carbon UD Carbon, Tapered Carbon Steerer, Flat Mount, 12 x 100mm Axle;Shimano Ultegra R8000 ST-R8070-R, Flat Mount, Hydraulic
Kona;Sutra LTD Adventure Road Bike 2021;2059;Road;7.8kg;"48cm (19""), 50cm (19.5""), 56cm (22"")";SRAM Rival 1, 11-Speed;11 Speed;Kona Project Two Chromoly Disc Touring fork;SRAM Centerline 160mm
Commencal;Clash Origin Full Suspension Bike 2021;2099;Mountain;15.5kg / 34.17lbs;L, XL, M;Shimano Deore 10-speed;12 Speed;"RockShox Yari RC, 180mm travel, 27.5"", Motion Control damper, Debonair, rebound, Boost (15x110mm), 37mm offset";SRAM Guide T, 4 pistons, matchmaker compatible, Rotors: SRAM G2 CleanSweep 200mm, 6-bolt
Commencal;Meta TR 29 Origin Suspension Bike 2021;2099;Mountain;15.8kg / 34lbs 13.3oz;XL;Shimano Deore, 11-speed;11 Speed;RockShox 35 Silver R, 150mm travel, coil spring, rebound adjust, 42mm offset, 35mm stanchions;Shimano MT-501, 2-piston, Shimano RT66 203mm 6-bolt rotors
Nukeproof;Scout 275 Pro Bike (SLX) 2021;2099,99;Mountain;12.9kgs/28.4lbs (Tubeless);S, XL, L, M;Shimano SLX M7100, SGS 12-Speed, Shadow Plus;12 Speed;RockShox Lyrik Select Charger RC 150mm, 46mm Offset, BOOST, Debonair, Gloss Black;Shimano SLX M7120, 4 Pot Brake, Resin Pads with Fins
Nukeproof;Scout 290 Pro Bike (SLX) 2021;2099,99;Mountain;12.9kgs/28.5lbs (Tubeless);XL, M, L;Shimano SLX M7100, SGS 12-Speed, Shadow Plus;12 Speed;RockShox Lyrik Select Charger RC 140mm, 42mm Offset, BOOST, Debonair, Gloss Black;Shimano SLX M7120, 4 Pot Brake, Resin Pads with Fins
NS Bikes;Define AL 130 Suspension Bike 2020;2149,99;Mountain;14.8kg (Medium size with Tubeless setup);L, S, M;SRAM GX Eagle type 3 12-Speed;12 Speed;Fox Performance 34 Float Grip, 140mm travel, 3pos-Adj, Open Mode Adj, 15x110mm Boost, 1.5 tapered steerer tube, 44 offset;"Front: SRAM Guide R, 200mm; Rear: SRAM Guide R, 180mm"
Cube;Reaction Hybrid Performance 625 E-Bike 2021;2199;Hybrid - City;23.7 kg;"19"", 43.5cm (17"")";Shimano RD-M3100-SGS, 9-Speed;9 Speed;SR Suntour XCM ATB Coil, 100mm;Shimano BR-MT200, Hydr. Disc Brake (180/180)
NS Bikes;Define AL 150 Suspension Bike 2020;2239,99;Mountain;14.9kg (Medium bike with Tubeless setup);M;SRAM GX Eagle Type 3 12-Speed;12 Speed;Fox Performance 36 Float Grip, 160mm travel, 3pos-Adj, Open Mode Adj, 15x110mm Boost, 1.5 tapered steerer tube, 44 offset;"Front: SRAM Guide RE, 200mm; Rear: SRAM Guide RE, 180mm"
Vitus;Sommet 27 CR Mountain Bike 2021;2399,99;Mountain;15.50kg (Tubeless setup);S, M, L, XL;Shimano Deore M6100 Shadow plus, long cage, 12 speed;11 Speed;RockShox Yari RC 27.5” Motion Control damper, DebonAir, 35mm stanchions, 170mm travel, 110mm x 15mm MaxleStealth axle 37mm offset;Shimano MT520
Vitus;Sommet 29 CR Mountain Bike 2021;2399,99;Mountain;15.77kg (Tubeless setup);S, XL, L, M;Shimano Deore M6100 Shadow plus, long cage, 12 speed;11 Speed;RockShox Yari RC 29” Motion Control damper, DebonAir, 35mm stanchions, 170mm travel, 110mm x 15mm MaxleStealth axle 42mm offset;Shimano MT520
Commencal;Clash Ride Full Suspension Bike 2021;2499;Mountain;15.9kg / 35lbs;XL;SRAM SX Eagle, 12-speed;12 Speed;RockShox ZEB,180mm travel, Charger damper, DebonAir spring, rebound adjust, 38mm offset, 38mm stanchions;SRAM Guide T 4-piston, MatchMaker clamps, SRAM G2 Cleansweep 200mm 6-bolt rotors
Nukeproof;Mega 275 Comp Alloy Bike (Deore) 2021;2699,99;Mountain;15.4Kgs/33.9lbs (Tubeless);M, S, XXL, L, XL;Shimano Deore M6100, SGS 12-Speed, Shadow Plus;12 Speed;RockShox Yari, Motion Control RC damper, 170mm, 37mm Offset, BOOST, Debonair, Gloss Black;Shimano Deore M6120 4 pot brake, Resin Pads
Nukeproof;Mega 290 Comp Alloy Bike (Deore) 2021;2699,99;Mountain;15.5Kgs/34.2lbs (Tubeless);XL, S, XXL, L, M;Shimano Deore M6100, SGS 12-Speed, Shadow Plus;12 Speed;RockShox Yari, Motion Control RC damper, 170mm, 42mm Offset, BOOST, Debonair, Gloss Black;Shimano Deore M6120 4 pot brake, Resin Pads
Nukeproof;Reactor 275 Comp Alloy Bike (Deore) 2021;2699,99;Mountain;14.67 kg / 32.3lbs (Medium);M, XL, S, L;Shimano Deore M6100, SGS 12-Speed, Shadow Plus;12 Speed;Marzocchi Bomber Z2, 150mm, 44mm Offset, BOOST, RAIL Damper, Gloss Black (SHORT ID: D6S3);Shimano Deore M6120 4 pot brake, Resin Pads
Nukeproof;Reactor 290 Comp Alloy Bike (Deore) 2021;2699,99;Mountain;14.68 kg / 32.3lbs (Tubeless);M, L, XL;Shimano Deore M6100, SGS 12-Speed, Shadow Plus;12 Speed;Marzocchi Bomber Z2, 140mm, 44mm Offset, BOOST, RAIL Damper, Gloss Black (SHORT ID: D6S2);Shimano Deore M6120 4 pot brake, Resin Pads
Vitus;Escarpe 27 CRS Mountain Bike 2021;2699,99;Mountain;14.52kg (Medium frame, tubeless setup);XL, L, M, S;Shimano SLX M7100 Shadow plus, long cage, 12 speed;12 Speed;RockShox Pike Select 27.5” Charger RC damper, DebonAir, 35mm stanchions, 150mm travel, 110mm x 15mm MaxleStealth axle 37mm offset;Shimano SLX MT7120
Vitus;Escarpe 29 CRS Mountain Bike 2021;2699,99;Mountain;14.82kg (Medium frame, tubeless setup);M, S, XL, L;Shimano SLX M7100 Shadow plus, long cage, 12 speed;12 Speed;RockShox Pike Select 29” Charger RC damper, DebonAir, 35mm stanchions, 150mm travel, 110mm x 15mm MaxleStealth axle 37mm offset;Shimano SLX MT7120
Vitus;Sommet 27 CRS Mountain Bike 2021;2899,99;Mountain;15.25kg (tubeless setup);M, XL, S, L;Shimano SLX M7100 Shadow plus, long cage, 12 speed;12 Speed;RockShox Lyrik Select 27.5” Charger RC damper, DebonAir, 35mm stanchions, 170mm travel, 110mm x 15mm MaxleStealth axle 37mm offset;Shimano SLX MT7120
